DateTime;Ciśnienie, Powietrze, Silnik, LB, [0] Rozruch SG [MPa];Ciśnienie, Powietrze, Silnik, PB, [1] Rozruch SG [MPa];Ciśnienie, Powietrze, ZP1, [2] Rozruch, ZP1 [MPa];Ciśnienie, Powietrze, ZAP, [3] Rozruch, PLC3 [MPa];Ciśnienie, Powietrze, ZP2, [4] Rozruch, ZP2 [MPa];Temperatura, Sprężarka pow. rozruchu, [5] Powietrze, Wlot [°C];Temperatura, Sprężarka pow. rozruchu, [6] Powietrze, Wylot [°C];Ciśnienie, Magistrala przed zbiornikami, [7] Powietrze [MPa];Ciśnienie, Magistrala przed zbiornikami, [8] Sprężone Powietrze [MPa];
2020-12-18 07:13:46;205.75;291.96;168.89;272.48;244.55;251.74;287.85;8.28;54.68;
2020-12-18 07:13:48;200.77;289.59;167.51;270.28;243.22;247.35;287.01;7.45;54.01;
2020-12-18 07:13:50;205.59;293.97;167.25;272.01;244.5;248.84;283.17;3;55.45;
2020-12-18 07:13:52;208.29;289.13;165.33;273.96;241.45;250.81;279.75;1.07;53.05;
2020-12-18 07:13:54;205.83;286.31;167.71;276.55;238.77;248.36;281.11;-2.04;56.27;
2020-12-18 07:13:56;205.88;287.15;166.86;271.88;242.54;245.72;280.02;-3.65;53.13;
2020-12-18 07:13:58;201.64;290.18;170.08;268.06;241.68;247.2;280.15;-2.84;53.66;
2020-12-18 07:14:00;203.78;291.83;172.48;266.79;245.43;246.41;278.85;-2.72;48.7;
2020-12-18 07:14:02;208.26;287.59;167.81;269.35;249.69;248.29;276.58;-6.16;52.89;
2020-12-18 07:14:04;209.98;284.59;167.85;267.29;251.3;247.15;277.55;-3.08;48.14;
2020-12-18 07:14:06;213.34;280.45;166.32;269.69;251.67;244.08;274.03;-5.22;50.37;
2020-12-18 07:14:08;214.46;283.28;161.33;264.7;249.35;242.9;275.95;-9.15;49.6;
2020-12-18 07:14:10;216.93;284.52;162.91;263.13;246.57;238.65;280.47;-12.6;48.56;
2020-12-18 07:14:12;218.49;279.94;160.89;264.31;245.06;239.73;282.76;-8.66;50.37;
2020-12-18 07:14:14;222.34;284.4;156.05;268.42;248.61;243.76;281.97;-6.93;50.68;
2020-12-18 07:14:16;219.73;287.13;153.02;269.76;252.23;245.09;285.51;-2.57;49.81;
2020-12-18 07:14:18;222.04;287.2;156.69;268.14;254.16;247.93;281.31;-3.86;50.54;
2020-12-18 07:14:20;221.77;292.1;155.18;270.92;253.82;243.6;276.76;-0.94;53.18;
2020-12-18 07:14:22;222.11;287.93;152.48;269.28;255.57;247.75;277.58;-1.18;54.05;
2020-12-18 07:14:24;224.42;284.49;147.68;268.19;253.79;243.83;272.71;1.93;52.25;
2020-12-18 07:14:26;225.44;288.47;142.85;268.28;255.39;243.22;276.65;2.42;55.69;
2020-12-18 07:14:28;225.86;284.84;138.52;271.02;256.95;247.72;279.67;-0.8;55.65;
2020-12-18 07:14:30;229.6;289.13;138.7;268.11;261.95;251.9;278.93;2.72;57.68;
2020-12-18 07:14:32;232.12;290.07;136.51;264.51;264.81;255.28;278.26;3.74;55.66;
2020-12-18 07:14:34;230.16;286.27;140.82;265.33;261.94;259.12;281.11;6.51;53.39;
2020-12-18 07:14:36;228.34;286.05;136.43;267.13;258.4;256.38;279.21;5.73;51.74;
2020-12-18 07:14:38;230.46;282.99;134.12;265.89;258.41;255.42;276.67;6.33;52.19;
2020-12-18 07:14:40;226.09;285.55;134.92;261.72;261.27;256.28;277.76;8.93;48.13;
2020-12-18 07:14:42;222.65;281.49;132.9;258.98;260.52;251.62;281.52;6.19;48.32;
2020-12-18 07:14:44;226.83;279.07;137.87;262.43;263.3;247.18;284.33;4.13;50.8;
2020-12-18 07:14:46;229.75;276.23;135.26;262.44;264.13;246.51;284.03;-0.4;47.92;
2020-12-18 07:14:48;228.25;275.7;134.1;263.77;263.48;243.1;280.86;1.53;50.38;
2020-12-18 07:14:50;224.9;277.52;139;268.27;262.77;239.5;282.78;2.67;53.09;
2020-12-18 07:14:52;221.03;280.31;140.68;271.53;266.26;237.97;282.57;6.84;49.71;
2020-12-18 07:14:54;222.83;284.05;137.65;276.09;268.63;236.54;285.78;11.04;52.86;
2020-12-18 07:14:56;227.68;288.8;136.05;273.26;272.99;234.1;287.2;13.36;49.22;
2020-12-18 07:14:58;227.33;292.74;138.68;277.46;270.56;236.68;282.4;14.15;47.05;
2020-12-18 07:15:00;229;296.6;133.68;277.45;271.22;234.42;282.24;15.28;44.74;
2020-12-18 07:15:02;230.46;299.79;134.16;278.7;271.05;231.86;285.64;18.68;40.59;
2020-12-18 07:15:04;233.06;294.85;129.58;279.52;273.86;235.29;283.04;14.24;44.8;
2020-12-18 07:15:06;233.79;290.84;125.34;276.6;274.85;231.73;283.94;12.4;39.97;
2020-12-18 07:15:08;228.98;287.31;128.06;275.92;271.87;228.95;280.14;13.47;41.04;
2020-12-18 07:15:10;233.05;290.59;124.27;276.73;276.76;230.66;277.98;8.96;41.37;
2020-12-18 07:15:12;228.13;294.67;124.86;280.33;272.44;231.94;279.94;7.94;44.09;
2020-12-18 07:15:14;232.4;298.8;123.84;282.09;268.34;228.26;283.1;12.64;45.39;
2020-12-18 07:15:16;228.15;298.93;119.43;279.63;270.22;231.31;286.21;12.28;45.63;
2020-12-18 07:15:18;223.86;303.3;117.05;275.68;273.92;231.11;286.49;12.07;41.71;
2020-12-18 07:15:20;225.59;305.78;121.1;278.04;272.37;228.23;287.75;8.08;36.92;
2020-12-18 07:15:22;225.99;305.32;118.76;280.76;277.03;225.16;283.06;9.81;39.73;
2020-12-18 07:15:24;225.55;308.56;116.97;278.06;280.79;222.16;287.04;12.45;41.64;
2020-12-18 07:15:26;223.4;308.04;120.26;278.98;285.69;224.62;285.23;14.23;40;
2020-12-18 07:15:28;221.42;303.62;121.03;277.74;285.17;224.38;286;14.2;43.47;
2020-12-18 07:15:30;222.2;304.38;118.93;278.66;281.84;225.73;283.28;18.16;46.09;
2020-12-18 07:15:32;218.09;304.16;116.18;282.34;284.6;223.15;278.36;21.46;47.63;
2020-12-18 07:15:34;214.95;302.62;117.72;284.58;282.58;220.61;275.69;20.45;43.18;
2020-12-18 07:15:36;217.55;298.74;120.29;285.38;286.49;225.54;280.17;19.39;39.01;
2020-12-18 07:15:38;219.24;299.02;119.31;287.3;291.02;223.04;275.75;15.53;42.31;
2020-12-18 07:15:40;216.66;302.04;115.72;286.13;292.52;220.09;273.05;12.89;38.16;
2020-12-18 07:15:42;214.57;298.62;111.94;282.9;288.54;224.42;270.12;9.58;34.54;
2020-12-18 07:15:44;218.12;299.55;111.26;282.54;284.5;224.89;271.34;7.06;38.93;
2020-12-18 07:15:46;219.6;301.63;111.95;286.59;286.62;226.69;272.42;3.56;43.6;
2020-12-18 07:15:48;218.56;305.7;114.9;288.97;291.12;228.4;275.92;4.78;39.84;
2020-12-18 07:15:50;222.52;300.83;115.67;284.49;291.86;227.76;272.31;8.61;35.7;
2020-12-18 07:15:52;221.67;300.28;115.9;285.88;293.75;226.93;274.98;7.45;33.69;
2020-12-18 07:15:54;217.32;303.55;117.85;290.28;292.3;225.92;279.47;4.64;37.3;
2020-12-18 07:15:56;214.95;304.07;120.25;286.87;290.64;229.56;278.54;0.87;40.32;
2020-12-18 07:15:58;213.87;300.22;120.15;288.35;288.64;233.82;278.76;2.32;44.31;
2020-12-18 07:16:00;211.57;299.66;116.31;287.96;286.45;235.58;276.82;2.43;46.33;
2020-12-18 07:16:02;210.32;295.91;113.26;289.59;282.04;233.97;278.86;0.8;48.24;
2020-12-18 07:16:04;210.98;295.5;112.34;293.38;282.07;229.56;281.38;1.38;51.88;
2020-12-18 07:16:06;213.4;290.5;116.76;297.1;280.64;233.7;281.59;4.27;52.25;
2020-12-18 07:16:08;217.36;293.23;111.82;293.72;281.06;232.68;283.16;5.41;53.04;
2020-12-18 07:16:10;216.02;294.62;111.43;290.68;278.55;236.02;278.42;9.11;51.48;
2020-12-18 07:16:12;215.63;290.78;109.5;293.02;276.21;238.04;279.42;9.27;50.66;
2020-12-18 07:16:14;216.8;292.63;112.8;295.47;273.14;234.69;277.05;10.96;50.15;
2020-12-18 07:16:16;212.54;288.43;108.55;292.29;269.1;239.55;279.05;11.92;49.46;
2020-12-18 07:16:18;216.33;292.91;111.26;288.82;272.89;242.42;282.79;16.57;49.59;
2020-12-18 07:16:20;216.62;297.66;115.45;285.84;276.93;246.66;286.83;17.56;47.45;
2020-12-18 07:16:22;221.04;299.61;119.43;283.15;281.43;247.95;291.06;21.64;46.6;
2020-12-18 07:16:24;219.44;304.09;118.39;279.78;281.41;251.59;290.33;22.99;50.25;
2020-12-18 07:16:26;222.58;300.74;119.06;278.47;281.14;249.47;293.2;23.77;48.42;
2020-12-18 07:16:28;226.28;299.34;117.3;277.74;284.34;246.94;289.33;18.85;46.65;
2020-12-18 07:16:30;227.25;296.87;120.15;280.65;280.31;242.95;284.61;22.99;43.22;
2020-12-18 07:16:32;224.83;296.61;117.37;282.92;279.21;241.63;287.66;27.53;41.41;
2020-12-18 07:16:34;223.2;300.02;117.63;283.87;278.09;246.61;285.26;30.72;43.74;
2020-12-18 07:16:36;225.75;301.49;114.59;283.99;276.51;242.41;285.28;29.69;45.31;
2020-12-18 07:16:38;225.04;296.54;119.2;280.35;273.49;246.31;280.33;30.01;42.12;
2020-12-18 07:16:40;225.08;299.93;116.18;281.68;268.98;244.5;276.01;31.23;43.33;
2020-12-18 07:16:42;222.83;296.85;115.41;283.39;266.94;241.05;272.1;31.76;44.27;
2020-12-18 07:16:44;225.47;295.13;112.03;279.48;261.96;244.8;272.07;30.12;46.61;
2020-12-18 07:16:46;224.33;298.18;114.08;274.91;258.05;249.58;271.3;33.88;42.94;
2020-12-18 07:16:48;228.85;297.71;114.36;273.4;258.69;247.9;273.82;35.77;44.35;
2020-12-18 07:16:50;227.11;295.42;117.93;273.7;260.96;243.83;277.58;34.88;49.07;
2020-12-18 07:16:52;225.69;298.67;121.77;274.69;257.55;248.56;274.38;39.42;52.3;
2020-12-18 07:16:54;223.94;295.67;119.12;271.17;256.85;247.28;271.01;34.62;56.43;
2020-12-18 07:16:56;220.54;297.04;120.04;275.27;252.78;247.87;267.77;35.33;58.65;
2020-12-18 07:16:58;222.65;294.45;116.9;275.23;250.84;251.53;271.9;33.21;56.25;
2020-12-18 07:17:00;227.1;296.21;119.75;279.5;251.57;249.42;270.88;30.76;58.85;
2020-12-18 07:17:02;222.57;300.32;122.01;278.98;247.19;245.85;271.39;29.14;59.7;
2020-12-18 07:17:04;218.19;296.15;118.07;283.37;250.98;242.93;273.17;25.86;62.95;
2020-12-18 07:17:06;219.92;296.07;114.9;278.59;253.75;243.65;275.68;25.48;66.03;
2020-12-18 07:17:08;217.6;291.24;117.38;277.92;251.21;238.85;271.78;28.86;63.21;
2020-12-18 07:17:10;219.43;287.89;113.03;279.72;253.42;235.53;276.39;26.08;62.29;
2020-12-18 07:17:12;218.69;284.17;109.38;281.11;258.32;235.62;275.98;22.85;59.91;
2020-12-18 07:17:14;222.15;288.59;106.62;282.22;254.15;230.76;274.81;26.39;58.6;
2020-12-18 07:17:16;223.96;291.94;108.84;282.44;250.07;234.74;277.75;29.22;55.77;
2020-12-18 07:17:18;224.75;295.42;110.46;280.75;254.19;232.41;281.94;33.65;52.36;
2020-12-18 07:17:20;226.4;296.07;110.97;280.66;252.54;235.68;278.81;38.53;47.62;
2020-12-18 07:17:22;221.49;296.98;109.3;281.7;249.8;239.48;277.88;40.03;46.94;
2020-12-18 07:17:24;225.47;296;104.94;283.86;254.51;239.95;282.15;44.52;46.26;
2020-12-18 07:17:26;222.55;297.34;108.4;280.72;256.06;238.36;284.64;43.52;43.13;
2020-12-18 07:17:28;222.68;296.22;105.74;281.91;253.42;234.56;283.42;48.26;40.05;
2020-12-18 07:17:30;219.72;294.46;101.48;279.62;250.36;234.34;280.87;48.94;36.67;
2020-12-18 07:17:32;217.54;299.2;102.66;282;245.48;237.11;285.83;48.08;33.98;
2020-12-18 07:17:34;217.63;296.07;99.14;286.88;241.84;235.17;290.06;48.47;37.97;
2020-12-18 07:17:36;217.37;292.86;94.77;290.1;237.18;235.87;291.99;53.19;40.3;
2020-12-18 07:17:38;213.28;296.77;93.37;292.95;241.24;231.85;291.59;54.47;38.99;
2020-12-18 07:17:40;212.81;295.12;91.85;288.39;236.6;235.9;296.53;50.81;37.28;
2020-12-18 07:17:42;215.6;295.11;93.69;286.25;236.25;236.91;296.46;51.93;35.11;
2020-12-18 07:17:44;218.68;297.89;90.45;281.43;237.65;234.58;295.26;56.88;31.33;
2020-12-18 07:17:46;219.17;296.08;91.94;282.3;233.07;233.36;291.18;56.55;32.61;
2020-12-18 07:17:48;215.09;298.82;89.17;278.17;236.38;231.09;290.52;60.67;34.07;
2020-12-18 07:17:50;215.08;294.5;84.21;277.04;236.78;226.99;294.86;61.33;38.76;
2020-12-18 07:17:52;219.49;293.43;87.83;274.23;234.5;224.9;297.83;60.75;41.89;
2020-12-18 07:17:54;217.18;294.76;87.91;278.08;236.02;222.31;300.05;65.42;40.81;
2020-12-18 07:17:56;218.04;290.4;86.66;277.45;231.91;217.86;302.13;65.47;41.55;
2020-12-18 07:17:58;219.53;287.14;84.5;278.47;229.87;217.85;303.4;64;41.68;
2020-12-18 07:18:00;215.92;282.2;89.28;278.84;228.51;222.13;303.79;65.65;45.4;
2020-12-18 07:18:02;212.69;282.47;88.97;276.64;231.66;221.28;308.12;63.62;42.08;
2020-12-18 07:18:04;216.35;278.53;86.76;279.94;232.06;216.53;304.38;64.34;44.18;
2020-12-18 07:18:06;217.44;275.63;84.04;280.3;229.71;213.01;302.63;62.25;41.25;
2020-12-18 07:18:08;222.09;275.21;82.69;279.22;226.48;215.94;306.06;63.46;42.94;
2020-12-18 07:18:10;225.01;273.06;85.93;278.25;221.7;220.21;306.55;64.12;38.69;
2020-12-18 07:18:12;226.4;276.96;85.73;273.34;219.97;217.12;302.74;66.78;41.03;
2020-12-18 07:18:14;223.23;275.21;82.56;272.08;219.67;216.57;307.72;63.71;39.01;
2020-12-18 07:18:16;220.79;273.78;85.51;273.74;218.88;216.44;307.41;64.05;35.6;
2020-12-18 07:18:18;217.71;274.07;87.2;275.53;218.96;220.26;308.95;64.94;33.14;
2020-12-18 07:18:20;221.49;275.78;82.71;277.73;218.44;217.23;304.82;69.75;30.26;
2020-12-18 07:18:22;222.54;279.35;81.03;280.74;221.29;219.42;305.74;65.71;26.29;
2020-12-18 07:18:24;219.02;277.88;81.96;283.34;217.94;217.22;305.9;67.41;25.71;
2020-12-18 07:18:26;222.84;274.06;77.07;287.61;221.98;220.57;310.12;71.21;29.7;
2020-12-18 07:18:28;223.48;278.67;78.73;291.9;221.29;223.68;305.15;67.05;27.47;
2020-12-18 07:18:30;227.52;281.54;76.57;291.78;218.84;223.11;301.51;62.65;26.86;
2020-12-18 07:18:32;227.37;280.46;74.62;295.72;218.63;224.72;303.85;58.49;24.96;
2020-12-18 07:18:34;223.63;279.29;74.91;295.04;217.43;220.91;305.88;55.79;24.53;
2020-12-18 07:18:36;225.27;280.96;79.89;298.49;221.61;224.51;305.52;57.72;20.79;
2020-12-18 07:18:38;229.51;281.59;77.12;301.03;223.5;220.35;308.58;62.49;24.44;
2020-12-18 07:18:40;226.52;280.02;80.17;302.91;228.35;219.05;311.98;61.34;23.09;
2020-12-18 07:18:42;228.06;281.35;76.23;304.46;223.77;221.26;308.12;58.36;27.7;
2020-12-18 07:18:44;228.02;285.01;77.02;307.85;225.34;222.94;308.01;55.03;28.65;
2020-12-18 07:18:46;228.76;287.2;73.64;306.72;222;226.57;311.66;52.28;31.58;
2020-12-18 07:18:48;227.64;285.75;70.97;311.18;223.29;225.87;309.63;49.41;26.58;
2020-12-18 07:18:50;223.4;281.65;68.98;308.24;226.73;230.58;307.22;46.62;24.5;
2020-12-18 07:18:52;220.57;281.13;64.79;304.48;222.65;233.91;305.8;42.37;20.61;
2020-12-18 07:18:54;218.89;284.29;68.87;300.43;227.4;232.35;304.31;41.48;20.41;
2020-12-18 07:18:56;222.3;281.35;71.93;302.37;228.67;231.96;305.23;41.39;22.39;
2020-12-18 07:18:58;218.16;281.77;76.02;306.08;228.54;229.67;301.98;40.66;25.56;
2020-12-18 07:19:00;214.42;279.1;72.08;308.35;231.69;226.39;304.65;41.84;20.59;
2020-12-18 07:19:02;217.84;282.78;73.6;312.33;228.77;225.99;302.47;41.69;15.75;
2020-12-18 07:19:04;217.41;287.09;69.27;316.86;228.65;230.65;305.78;43.25;11.02;
2020-12-18 07:19:06;221;290.36;65.25;312.89;225.83;234.35;307.88;41.29;15.33;
2020-12-18 07:19:08;223.88;286.6;63.39;313.26;225.36;234.6;305.11;38.29;12.65;
2020-12-18 07:19:10;224.83;288.13;61;313.41;230.16;235.36;302.3;39.1;11.64;
2020-12-18 07:19:12;222.44;289.47;60.89;314.85;231.73;236.53;306.75;43.03;7.16;
2020-12-18 07:19:14;221.35;290.21;62.87;316.14;234;233.07;310.58;38.94;9.34;
2020-12-18 07:19:16;223.58;288.86;58.72;311.7;230.62;235.98;308.64;38.36;7.74;
2020-12-18 07:19:18;225.39;289.32;61.74;314.64;226.15;239.76;303.81;42.76;4.93;
2020-12-18 07:19:20;230.28;287.47;66.32;313.85;229.79;240.94;300.46;45.88;3.44;
2020-12-18 07:19:22;231.96;283.78;68.78;313.36;226.45;243.45;304.3;41.21;3.3;
2020-12-18 07:19:24;236.14;282.78;64.83;311.28;230.68;248.16;303.11;39.24;3.03;
2020-12-18 07:19:26;232.78;286.6;66.02;313.45;231.17;249.32;302.88;38.54;1.19;
2020-12-18 07:19:28;230.43;282.37;61.06;315.01;230.86;250.91;306.22;42.93;1.35;
2020-12-18 07:19:30;234;278.87;60.37;310.09;226.1;246.95;304.56;39.33;5.77;
2020-12-18 07:19:32;238.77;274.94;57.54;312.59;224.11;250.2;301.94;36.19;5.31;
2020-12-18 07:19:34;234.52;270.85;60.68;315.99;223.38;250;301.11;33.53;1.5;
2020-12-18 07:19:36;232.66;271.58;55.73;312.92;228.14;248.2;301.3;32.45;5.23;
2020-12-18 07:19:38;232.89;273.62;58.75;308.81;226.68;252.23;305.38;35.17;9.26;
2020-12-18 07:19:40;231.69;272.68;61.82;309.8;227.83;247.44;301.8;31.64;8.77;
2020-12-18 07:19:42;227.52;276.88;60.45;308.68;226.66;251.35;304.38;36.15;7.1;
2020-12-18 07:19:44;228.95;279.2;55.81;312.28;227.94;249.45;303.86;33.88;9.89;
2020-12-18 07:19:46;224.96;276.9;53.74;312.73;225.9;251.28;301.83;29.88;13.99;
2020-12-18 07:19:48;222.58;273.37;56.29;308.83;227.56;246.8;302.16;27.32;9.25;
2020-12-18 07:19:50;221.44;276.7;53.56;307.05;226.1;248.04;301.99;23;4.35;
2020-12-18 07:19:52;222.66;272.19;54.46;302.96;228.71;243.54;306.96;24.31;6.27;
2020-12-18 07:19:54;227.54;275.07;51.85;298.15;223.72;245.97;309.7;28.17;5.26;
2020-12-18 07:19:56;222.67;270.98;56.47;301.33;219.81;248.89;308.06;32.28;9.86;
