I[10A],Ue[V]
3.031,3.543
3.071,3.583
3.071,3.661
3.071,3.583
3.150,3.543
3.228,3.504
3.268,3.465
3.228,3.583
3.228,3.543
3.346,3.504
3.386,3.425
3.465,3.425
3.425,3.425
3.425,3.504
3.465,3.425
3.543,3.386
3.583,3.346
3.583,3.425
3.543,3.425
3.543,3.425
3.661,3.346
3.701,3.346
3.661,3.386
3.661,3.425
3.661,3.425
3.740,3.346
3.780,3.346
3.740,3.386
3.740,3.425
3.701,3.386
3.819,3.307
3.819,3.268
3.819,3.346
3.819,3.386
3.780,3.386
3.819,3.268
3.858,3.268
3.858,3.346
3.819,3.346
3.819,3.346
3.858,3.268
3.858,3.189
3.858,3.268
3.819,3.386
3.858,3.346
3.858,3.307
3.898,3.268
3.898,3.268
3.858,3.268
3.858,3.346
3.858,3.307
3.898,3.268
3.898,3.268
3.858,3.268
3.858,3.268
3.898,3.268
3.937,3.228
3.937,3.228
3.898,3.268
3.858,3.268
3.858,3.268
3.898,3.228
3.898,3.228
3.898,3.228
3.858,3.268
3.858,3.228
3.898,3.189
3.898,3.228
3.858,3.228
3.858,3.307
3.858,3.228
3.858,3.189
3.898,3.228
3.858,3.268
3.858,3.228
3.858,3.268
3.898,3.228
3.858,3.228
3.858,3.268
3.858,3.268
3.858,3.268
3.898,3.189
3.898,3.228
3.858,3.268
3.858,3.268
3.858,3.268
3.858,3.228
3.858,3.189
3.858,3.189
3.819,3.268
3.858,3.228
3.858,3.189
3.858,3.228
3.858,3.228
3.819,3.228
3.858,3.228
3.819,3.189
3.858,3.228
3.819,3.228
3.819,3.268
3.819,3.228
3.819,3.189
3.819,3.189
3.858,3.268
3.819,3.228
3.819,3.268
3.819,3.150
3.858,3.228
3.819,3.189
3.819,3.228
3.819,3.189
3.819,3.189
3.858,3.150
3.819,3.228
3.819,3.189
3.780,3.228
3.819,3.189
3.819,3.110
3.819,3.228
3.780,3.228
3.780,3.228
3.819,3.228
3.819,3.189
3.819,3.228
3.780,3.228
3.780,3.228
3.819,3.110
3.819,3.268
3.819,3.228
3.780,3.268
3.780,3.228
3.780,3.228
3.780,3.189
3.780,3.228
3.780,3.228
3.740,3.228
3.780,3.189
3.819,3.189
3.780,3.189
3.780,3.268
3.780,3.189
3.780,3.189
3.740,3.189
3.780,3.228
3.740,3.228
3.780,3.228
3.740,3.189
3.819,3.110
3.740,3.228
3.740,3.228
3.740,3.268
3.740,3.228
3.780,3.189
3.780,3.228
3.740,3.268
3.740,3.228
3.780,3.268
3.780,3.268
3.740,3.189
3.740,3.228
3.740,3.189
3.740,3.189
3.780,3.189
3.780,3.150
3.740,3.228
3.740,3.189
3.740,3.228
3.780,3.110
3.740,3.228
3.701,3.268
3.701,3.268
3.701,3.228
3.740,3.189
3.740,3.228
3.701,3.268
3.701,3.268
3.740,3.189
3.740,3.268
3.740,3.268
3.740,3.268
3.701,3.268
3.740,3.228
3.740,3.228
3.740,3.228
3.701,3.268
3.701,3.268
3.740,3.189
3.740,3.268
3.740,3.189
3.701,3.268
3.701,3.228
3.740,3.228
3.740,3.189
3.701,3.228
3.701,3.228
3.701,3.268
3.701,3.228
3.740,3.189
3.740,3.189
3.701,3.268
3.701,3.268
3.701,3.268
3.701,3.228
3.701,3.228
3.701,3.268
3.701,3.268
3.701,3.228
3.740,3.228
3.701,3.228
3.701,3.268
3.701,3.228
3.701,3.189
3.740,3.189
3.740,3.189
3.701,3.228
3.661,3.228
3.701,3.228
3.740,3.189
3.701,3.228
3.701,3.268
3.661,3.268
3.701,3.228
3.701,3.228
3.701,3.268
3.661,3.268
3.701,3.268
3.661,3.268
3.701,3.228
3.701,3.228
3.661,3.268
3.701,3.268
3.701,3.268
3.740,3.189
3.701,3.228
3.701,3.268
3.701,3.268
3.701,3.228
3.701,3.189
3.701,3.228
3.661,3.268
3.701,3.268
3.701,3.268
3.701,3.268
3.701,3.228
3.701,3.346
3.701,3.228
3.701,3.268
3.701,3.189
3.701,3.228
3.661,3.228
3.661,3.268
3.661,3.268
3.701,3.268
3.701,3.228
3.701,3.228
3.661,3.346
3.701,3.228
3.701,3.228
3.701,3.228
3.661,3.268
3.661,3.268
3.701,3.268
3.701,3.228
3.701,3.189
3.701,3.228
3.661,3.228
3.701,3.268
3.701,3.189
3.701,3.189
3.661,3.228
3.661,3.268
3.701,3.228
3.701,3.268
3.701,3.268
3.701,3.268
3.661,3.346
3.661,3.268
3.701,3.268
3.701,3.268
3.661,3.268
3.661,3.268
3.701,3.346
3.701,3.268
3.701,3.268
3.701,3.228
3.661,3.228
3.661,3.268
3.701,3.268
3.701,3.268
3.661,3.268
3.661,3.386
3.661,3.268
3.701,3.189
3.701,3.228
3.701,3.268
3.661,3.189
3.661,3.268
3.661,3.150
3.701,3.268
3.661,3.268
3.661,3.110
3.661,3.268
3.701,3.268
3.701,3.228
3.701,3.268
3.661,3.268
3.661,3.268
3.701,3.268
3.701,3.228
3.661,3.268
3.661,3.268
3.661,3.268
3.661,3.228
3.701,3.228
3.701,3.268
3.661,3.268
3.701,3.268
3.701,3.268
3.661,3.228
3.701,3.268
3.661,3.189
3.661,3.268
3.701,3.268
3.701,3.268
3.701,3.268
3.661,3.268
3.661,3.268
3.701,3.268
3.701,3.268
3.661,3.268
3.661,3.268
3.661,3.268
3.661,3.189
3.701,3.268
3.701,3.268
3.661,3.268
3.661,3.268
3.701,3.228
3.701,3.228
3.701,3.268
3.661,3.268
3.661,3.268
3.701,3.110
3.701,3.228
3.701,3.268
3.661,3.268
3.661,3.268
3.701,3.228
3.701,3.268
3.701,3.268
3.661,3.268
3.661,3.268
3.661,3.268
3.661,3.228
3.661,3.268
3.661,3.268
3.661,3.268
3.701,3.268
3.701,3.189
3.661,3.268
3.661,3.268
3.701,3.268
3.701,3.228
3.701,3.268
3.661,3.268
3.661,3.268
3.661,3.268
3.661,3.268
3.701,3.268
3.661,3.268
3.661,3.268
3.661,3.268
3.661,3.268
3.701,3.268
3.661,3.268
3.661,3.268
3.661,3.268
3.661,3.268
3.661,3.268
3.661,3.268
3.661,3.307
3.661,3.268
3.701,3.268
3.701,3.268
3.661,3.268
3.661,3.268
3.661,3.307
3.661,3.268
3.701,3.228
3.701,3.268
3.661,3.268
3.661,3.268
3.661,3.268
3.701,3.268
3.701,3.268
3.661,3.268
3.661,3.268
3.661,3.268
3.661,3.268
3.701,3.268
3.661,3.268
3.661,3.307
3.661,3.268
3.701,3.268
3.661,3.268
3.661,3.268
3.661,3.346
3.661,3.268
3.661,3.268
3.661,3.268
3.661,3.268
3.661,3.268
3.661,3.268
3.661,3.189
3.701,3.268
3.661,3.346
3.661,3.268
3.661,3.268
3.701,3.228
3.661,3.268
3.661,3.268
3.661,3.346
3.661,3.268
3.701,3.268
3.661,3.268
3.661,3.268
3.661,3.307
3.661,3.268
3.661,3.228
3.661,3.268
3.661,3.346
3.661,3.268
3.661,3.268
3.661,3.346
3.701,3.268
3.661,3.307
3.661,3.346
3.661,3.268
3.701,3.268
3.661,3.268
3.661,3.307
3.661,3.346
3.661,3.268
3.701,3.268
3.701,3.268
3.661,3.307
3.661,3.268
3.661,3.268
3.661,3.268
3.661,3.268
3.661,3.307
3.661,3.268
3.661,3.268
3.661,3.268
3.661,3.268
3.661,3.346
3.622,3.346
3.661,3.268
3.661,3.268
3.701,3.268
3.661,3.268
3.661,3.268
3.661,3.268
3.661,3.189
3.661,3.268
3.661,3.228
3.661,3.268
3.661,3.268
3.701,3.268
3.661,3.268
3.661,3.307
3.661,3.346
3.661,3.268
3.661,3.307
3.661,3.268
3.661,3.346
3.622,3.346
3.661,3.307
3.661,3.268
3.661,3.268
3.661,3.307
3.661,3.268
3.661,3.268
3.701,3.268
3.661,3.268
3.661,3.307
3.661,3.268
3.661,3.307
3.661,3.268
3.661,3.268
3.661,3.268
3.661,3.386
3.661,3.268
3.701,3.268
3.661,3.268
3.661,3.307
3.661,3.346
3.661,3.307
3.701,3.228
3.661,3.268
3.661,3.346
3.661,3.346
3.661,3.268
3.661,3.268
3.701,3.268
3.661,3.307
3.661,3.268
3.661,3.268
3.701,3.268
3.701,3.268
3.661,3.268
3.661,3.386
3.661,3.268
3.661,3.268
3.701,3.268
3.661,3.307
3.622,3.386
3.661,3.268
3.701,3.268
3.701,3.268
3.661,3.268
3.661,3.268
3.661,3.346
3.701,3.268
3.701,3.307
3.661,3.346
3.661,3.346
3.661,3.307
3.661,3.268
3.661,3.307
3.661,3.346
3.622,3.307
3.661,3.346
3.701,3.268
3.701,3.268
3.661,3.307
3.661,3.346
3.661,3.307
3.661,3.268
3.701,3.268
3.661,3.307
3.661,3.307
3.661,3.307
3.661,3.268
3.661,3.268
3.661,3.268
3.661,3.346
3.661,3.307
3.661,3.307
3.701,3.268
3.661,3.307
3.661,3.346
3.661,3.346
3.661,3.268
3.661,3.268
3.661,3.307
3.661,3.346
3.661,3.346
3.661,3.268
3.661,3.268
3.661,3.307
3.661,3.307
3.661,3.307
3.661,3.268
3.661,3.307
3.661,3.268
3.661,3.268
3.661,3.346
3.661,3.346
3.701,3.268
3.661,3.307
3.661,3.346
3.622,3.346
3.661,3.268
3.661,3.346
3.661,3.346
3.661,3.346
3.661,3.346
3.661,3.346
3.661,3.346
3.661,3.307
3.661,3.346
3.661,3.346
3.661,3.307
3.661,3.268
3.661,3.346
3.661,3.346
3.622,3.268
3.661,3.268
3.661,3.268
3.661,3.307
3.661,3.346
3.661,3.307
3.661,3.346
3.701,3.346
3.661,3.307
3.661,3.346
3.661,3.346
3.661,3.307
3.661,3.268
3.661,3.346
3.661,3.346
3.622,3.346
3.661,3.346
3.661,3.268
3.661,3.307
3.661,3.346
3.661,3.346
3.661,3.307
3.701,3.268
3.661,3.307
3.661,3.307
3.661,3.268
3.661,3.307
3.661,3.307
3.661,3.268
3.661,3.346
3.661,3.346
3.661,3.307
3.661,3.307
3.661,3.268
3.661,3.346
3.661,3.346
3.661,3.346
3.701,3.268
3.661,3.346
3.661,3.386
3.661,3.346
3.661,3.346
3.661,3.346
3.661,3.307
3.661,3.346
3.661,3.425
3.661,3.307
3.661,3.268
3.701,3.307
3.661,3.346
3.661,3.346
3.661,3.268
3.661,3.268
3.661,3.268
3.661,3.346
3.661,3.268
3.661,3.307
3.661,3.228
3.661,3.307
3.661,3.346
3.661,3.346
3.661,3.346
3.661,3.346
3.661,3.307
3.661,3.346
3.661,3.386
3.661,3.307
3.661,3.346
3.661,3.346
3.661,3.346
3.661,3.346
3.661,3.346
3.701,3.268
3.661,3.268
3.661,3.346
